,Stock Ticker,Previous Close,Open,Bid,Ask,Day's Range,52 Week Range,Volume,Avg. Volume,Market Cap,Beta (3Y Monthly),PE Ratio (TTM),EPS (TTM),Forward Dividend,Forward Yeild,Ex-Dividend Date,Dividend_yield
0,MMM,163.1,165.47,165.56 x 1000,165.79 x 800,164.76 - 166.15,150.58 - 219.75,1949.0,1855778.0,96.262,1.28,19.97,8.31,5.76,3.52,2019-08-15,0.03531575720416922
1,AOS,51.01,51.41,51.01 x 800,51.10 x 1200,50.82 - 51.78,40.34 - 56.66,1423.0,1681229.0,8.567,1.67,20.51,2.49,0.96,1.88,2019-10-30,0.01881983924720643
2,ABT,82.79,83.14,81.55 x 800,82.18 x 1400,81.51 - 83.28,65.44 - 88.76,5308.0,5509062.0,145.026,0.8,44.38,1.84,1.28,1.55,2019-07-12,0.015460804444981277
3,ABBV,76.46,76.88,77.21 x 1000,77.40 x 1100,75.85 - 77.85,62.66 - 94.98,7737.0,7467646.0,116.295,0.71,28.22,2.74,4.28,5.6,2019-10-14,0.05597698142819776
4,ACN,187.08,186.95,187.22 x 900,187.37 x 1000,185.39 - 187.54,132.63 - 202.80,1296.0,1910132.0,119.31700000000001,1.01,25.45,7.36,3.72,1.99,2019-04-10,0.019884541372674792
5,ATVI,54.54,55.25,55.30 x 1100,55.49 x 1300,54.72 - 55.82,39.85 - 70.95,5946.0,5438414.0,41.773,0.94,25.35,2.19,0.37,0.68,2019-03-27,0.006784011734506784
8,AAP,163.5,164.53,165.89 x 1000,165.91 x 800,163.99 - 166.35,130.09 - 186.15,597442.0,597141871.0,11.834000000000001,1.11,27.72,5.99,0.24,0.15,2019-09-19,0.0014678899082568807
10,AES,16.38,16.4,16.41 x 3100,16.47 x 1800,16.34 - 16.50,13.55 - 18.52,3882.0,3672503.0,11.008,0.74,27.4,0.6,0.55,3.33,2019-10-31,0.03357753357753358
12,AFL,52.71,53.0,52.82 x 2200,52.97 x 1400,52.85 - 53.21,41.45 - 57.18,2635.0,2459717.0,39.211,0.5,12.89,4.1,1.08,2.05,2019-08-20,0.020489470688673878
13,A,74.57,74.88,75.32 x 1300,75.97 x 800,74.69 - 75.51,61.01 - 82.27,1612.0,1419898.0,23.25,1.28,22.58,3.34,0.66,0.88,2019-07-01,0.008850744267131555
17,ALB,67.13,67.91,66.91 x 800,68.16 x 1000,66.81 - 68.18,58.63 - 108.74,1098.0,1440564.0,7.013,1.25,13.12,5.12,1.47,2.19,2019-09-12,0.021897810218978103
24,LNT,52.98,53.07,53.14 x 2200,53.15 x 800,52.62 - 53.24,40.68 - 54.59,1100.0,1183195.0,12.682,0.22,24.62,2.16,1.42,2.68,2019-10-30,0.026802567006417515
25,ALL,108.41,108.94,108.80 x 1300,109.22 x 800,108.43 - 109.29,77.00 - 109.55,1128.0,1535456.0,36.148,0.77,14.79,7.38,2.0,1.84,2019-08-29,0.01844848261230514
28,MO,44.33,44.55,45.50 x 1800,45.49 x 3200,44.51 - 45.60,39.30 - 66.04,10232.0,10454717.0,85.20700000000001,0.37,13.6,3.35,3.36,7.58,2019-09-13,0.07579517256936612
30,AEE,76.62,76.41,28.19 x 900,78.32 x 900,76.28 - 76.89,62.51 - 80.85,998498.0,998800676.0,19.047,0.23,23.74,3.23,1.98,2.58,2019-12-10,0.025841816758026624
31,AAL,28.22,28.51,28.64 x 4000,28.71 x 2200,28.42 - 28.91,24.23 - 40.58,6789.0,6310926.0,12.876,1.98,8.45,3.38,0.4,1.42,2019-08-06,0.01417434443656981
32,AEP,94.14,94.04,94.29 x 1200,94.55 x 800,93.49 - 94.54,72.07 - 94.89,2013.0,2228739.0,47.226000000000006,0.13,23.62,4.0,2.68,2.85,2019-08-08,0.028468238793286596
33,AXP,116.76,117.55,119.33 x 800,119.34 x 1800,117.49 - 119.38,89.05 - 129.34,3961.0,3448459.0,96.83200000000001,0.99,14.38,8.28,1.72,1.47,2019-07-03,0.014731072285029118
35,AMT,229.09,229.24,228.96 x 800,231.30 x 900,226.70 - 229.59,148.43 - 242.00,1163.0,1699200.0,102.98200000000001,-0.01,69.31,3.31,3.61,1.58,2019-06-18,0.015757999039678727
37,AMP,142.0,143.77,144.34 x 800,144.38 x 1100,143.56 - 145.30,95.69 - 153.91,529880.0,529072576.0,19.088,1.99,10.63,13.58,3.88,2.73,2019-08-02,0.02732394366197183
38,ABC,89.64,88.2,81.84 x 800,91.00 x 1100,84.37 - 89.00,69.36 - 94.75,2303.0,2283439.0,18.082,1.18,19.28,4.49,1.6,1.78,2019-08-16,0.0178491744756805
39,AME,88.35,88.82,88.24 x 800,90.67 x 900,88.03 - 89.33,63.14 - 92.86,2015.0,2163787.0,20.111,1.33,24.78,3.56,0.56,0.63,2019-09-13,0.006338426711941144
40,AMGN,202.72,203.57,202.89 x 1000,202.90 x 1100,200.78 - 203.61,166.30 - 211.90,1612.0,1915942.0,121.195,0.79,16.11,12.6,5.8,2.86,2019-08-14,0.028610891870560377
41,APH,99.0,99.7,100.37 x 900,100.32 x 800,99.38 - 100.52,74.95 - 105.51,1289.0,1415028.0,29.976,1.12,25.73,3.9,1.0,1.01,2019-09-16,0.010101010101010102
42,ADI,109.48,110.19,108.39 x 800,111.11 x 1100,110.00 - 111.48,76.62 - 124.79,1015.0,1135112.0,40.851,1.55,28.2,3.94,2.16,1.97,2019-08-29,0.019729630982827914
45,ANTM,249.4,250.93,253.31 x 900,253.59 x 1000,249.49 - 254.30,227.16 - 317.99,1927.0,1480042.0,64.779,0.87,16.35,15.48,3.2,1.28,2019-09-09,0.012830793905372895
48,AIV,54.48,54.42,47.00 x 800,54.89 x 800,54.23 - 54.82,41.98 - 54.82,485455.0,485054995.0,8.227,0.46,9.02,6.07,1.56,2.86,2019-08-15,0.02863436123348018
50,AMAT,51.68,52.19,52.64 x 3200,52.76 x 1200,51.99 - 52.71,28.79 - 53.25,5973.0,5510868.0,48.626000000000005,1.63,16.65,3.16,0.84,1.63,2019-11-20,0.016253869969040248
